caldt,spindx
20180102,2695.81
20180103,2713.06
20180104,2723.99
20180105,2743.15
20180108,2747.71
20180109,2751.29
20180110,2748.23
20180111,2767.56
20180112,2786.24
20180116,2776.42
20180117,2802.56
20180118,2798.03
20180119,2810.30
20180122,2832.97
20180123,2839.13
20180124,2837.54
20180125,2839.25
20180126,2872.87
20180129,2853.53
20180130,2822.43
20180131,2823.81
20180201,2821.98
20180202,2762.13
20180205,2648.94
20180206,2695.14
20180207,2681.66
20180208,2581.00
20180209,2619.55
20180212,2656.00
20180213,2662.94
20180214,2698.63
20180215,2731.20
20180216,2732.22
20180220,2716.26
20180221,2701.33
20180222,2703.96
20180223,2747.30
20180226,2779.60
20180227,2744.28
20180228,2713.83
20180301,2677.67
20180302,2691.25
20180305,2720.94
20180306,2728.12
20180307,2726.80
20180308,2738.97
20180309,2786.57
20180312,2783.02
20180313,2765.31
20180314,2749.48
20180315,2747.33
20180316,2752.01
20180319,2712.92
20180320,2716.94
20180321,2711.93
20180322,2643.69
20180323,2588.26
20180326,2658.55
20180327,2612.62
20180328,2605.00
20180329,2640.87
20180402,2581.88
20180403,2614.45
20180404,2644.69
20180405,2662.84
20180406,2604.47
20180409,2613.16
20180410,2656.87
20180411,2642.19
20180412,2663.99
20180413,2656.30
20180416,2677.84
20180417,2706.39
20180418,2708.64
20180419,2693.13
20180420,2670.14
20180423,2670.29
20180424,2634.56
20180425,2639.40
20180426,2666.94
20180427,2669.91
20180430,2648.05
20180501,2654.80
20180502,2635.67
20180503,2629.73
20180504,2663.42
20180507,2672.63
20180508,2671.92
20180509,2697.79
20180510,2723.07
20180511,2727.72
20180514,2730.13
20180515,2711.45
20180516,2722.46
20180517,2720.13
20180518,2712.97
20180521,2733.01
20180522,2724.44
20180523,2733.29
20180524,2727.76
20180525,2721.33
20180529,2689.86
20180530,2724.01
20180531,2705.27
20180601,2734.62
20180604,2746.87
20180605,2748.80
20180606,2772.35
20180607,2770.37
20180608,2779.03
20180611,2782.00
20180612,2786.85
20180613,2775.63
20180614,2782.49
20180615,2779.66
20180618,2773.75
20180619,2762.59
20180620,2767.32
20180621,2749.76
20180622,2754.88
20180625,2717.07
20180626,2723.06
20180627,2699.63
20180628,2716.31
20180629,2718.37
20180702,2726.71
20180703,2713.22
20180705,2736.61
20180706,2759.82
20180709,2784.17
20180710,2793.84
20180711,2774.02
20180712,2798.29
20180713,2801.31
20180716,2798.43
20180717,2809.55
20180718,2815.62
20180719,2804.49
20180720,2801.83
20180723,2806.98
20180724,2820.40
20180725,2846.07
20180726,2837.44
20180727,2818.82
20180730,2802.60
20180731,2816.29
20180801,2813.36
20180802,2827.22
20180803,2840.35
20180806,2850.40
20180807,2858.45
20180808,2857.70
20180809,2853.58
20180810,2833.28
20180813,2821.93
20180814,2839.96
20180815,2818.37
20180816,2840.69
20180817,2850.13
20180820,2857.05
20180821,2862.96
20180822,2861.82
20180823,2856.98
20180824,2874.69
20180827,2896.74
20180828,2897.52
20180829,2914.04
20180830,2901.13
20180831,2901.52
20180904,2896.72
20180905,2888.60
20180906,2878.05
20180907,2871.68
20180910,2877.13
20180911,2887.89
20180912,2888.92
20180913,2904.18
20180914,2904.98
20180917,2888.80
20180918,2904.31
20180919,2907.95
20180920,2930.75
20180921,2929.67
20180924,2919.37
20180925,2915.56
20180926,2905.97
20180927,2914.00
20180928,2913.98
20181001,2924.59
20181002,2923.43
20181003,2925.51
20181004,2901.61
20181005,2885.57
20181008,2884.43
20181009,2880.34
20181010,2785.68
20181011,2728.37
20181012,2767.13
20181015,2750.79
20181016,2809.92
20181017,2809.21
20181018,2768.78
20181019,2767.78
20181022,2755.88
20181023,2740.69
20181024,2656.10
20181025,2705.57
20181026,2658.69
20181029,2641.25
20181030,2682.63
20181031,2711.74
20181101,2740.37
20181102,2723.06
20181105,2738.31
20181106,2755.45
20181107,2813.89
20181108,2806.83
20181109,2781.01
20181112,2726.22
20181113,2722.18
20181114,2701.58
20181115,2730.20
20181116,2736.27
20181119,2690.73
20181120,2641.89
20181121,2649.93
20181123,2632.56
20181126,2673.45
20181127,2682.17
20181128,2743.79
20181129,2737.76
20181130,2760.17
20181203,2790.37
20181204,2700.06
20181206,2695.95
20181207,2633.08
20181210,2637.72
20181211,2636.78
20181212,2651.07
20181213,2650.54
20181214,2599.95
20181217,2545.94
20181218,2546.16
20181219,2506.96
20181220,2467.42
20181221,2416.62
20181224,2351.10
20181226,2467.70
20181227,2488.83
20181228,2485.74
20181231,2506.85
